特价,原价,药名,厂家,规格,效期
券后约 ￥1.79,￥1.88,50%葡萄糖注射液,湖北科伦药业有限公司,规格：20ml:10g*5支,效期：2022-07-31
券后约 ￥7.22,￥7.60,血塞通注射液,朗致集团万荣药业有限公司,规格：2ml：100mg*10支,效期：2022-05-13
券后约 ￥1.08,￥1.14,盐酸氨溴索葡萄糖注射液,六安华源制药有限公司,规格：100ml:30mg:5g(精装),效期：2021-11-09
券后约 ￥5.89,￥6.20,硫酸沙丁胺醇片,江苏亚邦爱普森药业有限公司,规格：2mg*100片,效期：2022-02-28
券后约 ￥5.05,￥5.32,头孢克洛颗粒,苏州中化药品工业有限公司,规格：0.125g*9袋,效期：2022-01-31
券后约 ￥1.62,￥1.71,复方氨酚烷胺胶囊,河南中杰药业有限公司,规格：9粒,效期：2023-09-30
券后约 ￥204.25,￥215.00,恩他卡朋片,Orion Corporation,规格：0.2g*30片,效期：2023-03-31
券后约 ￥0.92,￥0.97,醋酸地塞米松片,新乡市常乐制药有限责任公司,规格：0.75mg*100片,效期：2023-07-31
券后约 ￥4.70,￥4.95,厄贝沙坦片,安徽环球药业股份有限公司,规格：75mg*12片,效期：
券后约 ￥5.49,￥5.78,盐酸吡格列酮片,上海朝晖药业有限公司,规格：15mg*7片,效期：2022-02-28
券后约 ￥3.99,￥4.20,一清颗粒,山西澳迩药业有限公司,规格：7.5g*12袋,效期：2022-06-30
券后约 ￥5.18,￥5.45,妥布霉素地塞米松滴眼液,成都青山利康药业有限公司,规格：5ml(300支/件),效期：2022-08-01
券后约 ￥9.97,￥10.50,感冒灵颗粒,华润三九医药股份有限公司委托惠州市九惠制药股份有限公司,规格：10g*9袋,效期：2022-05-31
券后约 ￥9.31,￥9.80,猴耳环消炎片,广州花城药业有限公司,规格：0.24g*100片(薄膜衣),效期：2021-11-30
券后约 ￥9.69,￥10.20,酒石酸美托洛尔片,阿斯利康制药有限公司,规格：50mg*20片,效期：2021-08-31
券后约 ￥21.38,￥22.50,京都念慈菴蜜炼川贝枇杷膏,京都念慈菴总厂有限公司,规格：150ml,效期：2022-08-30
券后约 ￥24.51,￥25.80,苯磺酸左氨氯地平片,施慧达药业集团(吉林)有限公司,规格：7片*2板,效期：2023-07-31
券后约 ￥28.31,￥29.80,氨溴特罗口服溶液,北京韩美药品有限公司,规格：120ml,效期：2023-03-23
券后约 ￥13.29,￥13.99,布洛芬混悬液,上海强生制药有限公司,规格：35ml（30ml：0.6g）,效期：2023-01-31
券后约 ￥14.96,￥15.75,云南白药创可贴,云南白药集团无锡药业有限公司委托江苏南方卫材医药股份有限公司生产,规格：100片(轻巧透气型),效期：2023-03-31
券后约 ￥8.64,￥9.10,厄贝沙坦氢氯噻嗪片,赛诺菲(杭州)制药有限公司,规格：150mg/12.5mg*7片,效期：2023-04-30
券后约 ￥21.47,￥22.60,厄贝沙坦片,赛诺菲(杭州)制药有限公司,规格：0.15g*7片,效期：2023-05-31
券后约 ￥16.11,￥16.96,布洛芬缓释胶囊,中美天津史克制药有限公司,规格：300mg*20粒,效期：2023-07-31
券后约 ￥20.66,￥21.75,盐酸氟桂利嗪胶囊,西安杨森制药有限公司,规格：5mg*20粒,效期：2023-04-30
券后约 ￥19.71,￥20.75,硫酸氢氯吡格雷片,赛诺菲(杭州)制药有限公司,规格：75mg*7片,效期：2023-02-28
券后约 ￥23.27,￥24.50,盐酸二甲双胍片,中美上海施贵宝制药有限公司,规格：0.5g*20片(薄膜衣),效期：2023-07-31
